A,C,P,B,L,R,LA
3,1,60,14.9356,178.067,0.96,0
3,1,66,16.8198,165.533,0.98,1
3,1,78,18.73,151.0,1.0,2
3,1,81,18.6975,163.533,0.98,3
3,1,87,18.9,174.733,0.98,4
3,1,90,21.692,210.8,1.0,5
3,2,60,13.0481,112.8,1.0,6
3,2,66,16.8328,121.0,1.0,7
3,2,78,18.704,123.733,0.98,8
3,2,84,24.9968,111.2,1.0,9
3,2,87,19.2563,121.2,1.0,10
3,2,90,28.8471,200.8,1.0,11
3,3,60,18.6942,111.0,1.0,12
3,3,81,20.6305,101.8,1.0,13
3,3,84,19.9648,160.6,1.0,14
3,3,87,23.9455,160.6,1.0,15
3,3,90,26.9043,201.0,1.0,16
3,4,81,18.8773,120.6,1.0,17
3,4,84,23.9163,160.4,1.0,18
3,4,87,32.8701,201.8,1.0,19
3,4,90,35.4465,220.2,1.0,20
3,5,87,35.4628,180.2,1.0,21
3,5,90,42.7944,220.2,1.0,22
3,6,84,27.8051,141.2,1.0,23
3,6,87,33.193,180.0,1.0,24
3,6,90,42.0864,240.0,1.0,25
3,7,84,30.0553,170.2,1.0,26
3,7,87,33.5363,190.0,1.0,27
3,7,90,40.5487,260.2,1.0,28
3,8,78,23.6673,131.0,1.0,29
3,8,81,22.1988,170.8,1.0,30
3,8,84,31.1299,171.0,1.0,31
3,8,90,43.4749,300.0,1.0,32
2,1,60,14.1904,328.133,0.76,33
2,1,66,16.0779,270.0,0.78,34
2,1,78,17.9881,217.067,0.86,35
2,1,81,17.9881,136.667,0.96,36
2,1,87,18.1647,147.067,0.96,37
2,1,90,20.7834,160.8,1.0,38
2,2,60,12.2216,240.2,0.82,39
2,2,66,16.0714,200.8,0.88,40
2,2,78,18.0207,137.467,0.9,41
2,2,84,24.32,148.267,0.9,42
2,2,87,18.586,117.867,0.96,43
2,2,90,27.7912,154.533,0.98,44
2,3,60,18.0434,166.533,0.86,45
2,3,84,19.0464,150.8,0.94,46
2,3,87,23.0532,138.267,0.96,47
2,3,90,25.8484,193.733,0.92,48
2,4,81,18.2492,160.6,0.88,49
2,4,84,23.0532,110.8,1.0,50
2,4,87,31.8305,181.2,0.94,51
2,4,90,34.2272,177.467,0.96,52
2,5,87,34.2304,149.467,0.96,53
2,5,90,41.4017,178.667,0.96,54
2,6,84,26.981,156.133,0.92,55
2,6,87,31.9313,170.6,0.94,56
2,6,90,40.527,178.933,0.98,57
2,7,84,29.2378,176.133,0.92,58
2,7,87,32.3072,154.733,0.98,59
2,7,90,38.8884,243.733,0.92,60
2,8,75,18.403,250.4,0.82,61
2,8,78,22.6806,170.4,0.88,62
2,8,81,21.4073,158.667,0.96,63
2,8,84,30.1098,185.533,0.92,64
2,8,90,41.6935,247.067,0.96,65
1,1,60,6.9118,1438.89,0.26,66
1,1,66,10.7745,823.333,0.46,67
1,1,78,10.8461,476.667,0.62,68
1,1,81,8.9164,530.0,0.6,69
1,1,90,11.2438,246.667,0.76,70
1,2,66,8.9099,490.0,0.58,71
1,2,84,10.8364,355.556,0.66,72
1,2,90,13.4607,260.476,0.74,73
1,3,60,10.8266,635.034,0.54,74
1,3,84,11.1007,522.585,0.54,75
1,3,87,9.3076,220.0,0.78,76
1,3,90,13.4738,256.667,0.72,77
1,4,84,9.2881,353.333,0.68,78
1,4,87,13.477,256.667,0.76,79
1,4,90,15.7655,333.333,0.74,80
1,5,87,17.5456,333.333,0.68,81
1,5,90,19.8828,250.0,0.8,82
1,6,84,13.0728,272.766,0.68,83
1,6,87,17.6171,346.667,0.7,84
1,6,90,18.1881,358.503,0.68,85
1,7,87,15.7069,297.687,0.72,86
1,8,78,9.197,460.0,0.66,87
3,1,60,15.0234,156.8,1.0,0
3,1,66,16.823,164.533,0.98,1
3,1,78,18.704,163.933,0.98,2
3,1,81,18.7007,177.867,0.96,3
3,1,87,18.887,186.867,0.96,4
3,1,90,21.6692,211.2,1.0,5
3,2,60,13.0871,126.533,0.98,6
3,2,66,16.8263,120.4,1.0,7
3,2,78,18.6845,110.6,1.0,8
3,2,84,25.0033,110.2,1.0,9
3,2,87,19.2498,133.733,0.98,10
3,2,90,28.8633,214.533,0.98,11
3,3,60,18.7203,125.133,0.98,12
3,3,81,20.6435,100.8,1.0,13
3,3,84,19.9388,160.2,1.0,14
3,3,87,23.9455,160.6,1.0,15
3,3,90,26.901,200.8,1.0,16
3,4,81,18.8805,121.0,1.0,17
3,4,84,23.9228,160.2,1.0,18
3,4,87,32.8571,201.4,1.0,19
3,4,90,35.4563,220.4,1.0,20
3,5,87,35.5018,180.4,1.0,21
3,5,90,42.8301,220.8,1.0,22
3,6,84,27.8181,153.533,0.98,23
3,6,87,33.1898,180.2,1.0,24
3,6,90,42.0831,240.4,1.0,25
3,7,84,30.0683,170.6,1.0,26
3,7,87,33.5168,190.2,1.0,27
3,7,90,40.5454,260.0,1.0,28
3,8,78,23.6445,131.4,1.0,29
3,8,81,22.2248,170.4,1.0,30
3,8,84,31.1201,170.2,1.0,31
3,8,90,43.4782,300.8,1.0,32
2,1,60,14.1774,410.133,0.7,33
2,1,66,16.0942,232.449,0.8,34
2,1,78,17.9784,164.533,0.92,35
2,1,81,17.9914,151.2,0.94,36
2,1,87,18.1517,148.667,0.96,37
2,1,90,20.7997,201.2,0.94,38
2,2,60,12.2249,147.067,0.9,39
2,2,66,16.1039,201.0,0.86,40
2,2,78,18.0109,181.319,0.8,41
2,2,84,24.3786,148.267,0.92,42
2,2,87,18.5828,211.2,0.86,43
2,2,90,27.7977,181.6,0.94,44
2,3,60,18.0304,152.449,0.86,45
2,3,84,19.0497,164.533,0.92,46
2,3,87,23.0825,139.067,0.96,47
2,3,90,25.8419,154.133,0.98,48
2,4,81,18.22,253.533,0.78,49
2,4,84,23.0369,123.333,0.98,50
2,4,87,31.8272,180.8,0.94,51
2,4,90,34.2206,163.733,0.98,52
2,5,87,34.2402,135.933,0.98,53
2,5,90,41.3887,177.067,0.96,54
2,6,84,26.9582,154.933,0.94,55
2,6,87,31.9183,130.0,1.0,56
2,6,90,40.4717,191.467,0.96,57
2,7,84,29.215,202.0,0.88,58
2,7,87,32.3202,181.6,0.94,59
2,7,90,38.9665,219.067,0.96,60
2,8,75,18.39,130.4,0.94,61
2,8,78,22.6741,130.2,0.94,62
2,8,81,21.3227,224.733,0.86,63
2,8,84,30.0382,183.933,0.92,64
2,8,90,41.7097,274.933,0.92,65
1,1,60,6.9248,1227.3,0.28,66
1,1,66,10.7127,1476.67,0.32,67
1,1,78,10.8429,436.667,0.6,68
1,1,81,8.9391,294.898,0.66,69
1,1,90,11.1983,286.667,0.74,70
1,2,66,8.9294,516.667,0.6,71
1,2,84,10.8819,223.333,0.76,72
1,2,90,13.49,270.0,0.78,73
1,3,60,10.8168,410.0,0.6,74
1,3,84,11.1625,318.503,0.7,75
1,3,87,9.2328,500.0,0.6,76
1,3,90,13.49,296.667,0.74,77
1,4,84,9.2848,366.667,0.68,78
1,4,87,13.4965,206.054,0.84,79
1,4,90,15.7264,440.0,0.68,80
1,5,87,17.6367,218.889,0.78,81
1,5,90,19.8958,280.476,0.74,82
1,6,84,13.0858,427.347,0.58,83
1,6,87,17.6106,427.222,0.62,84
1,6,90,18.2337,313.333,0.72,85
1,7,87,15.7069,306.667,0.76,86
1,8,78,9.2328,420.0,0.64,87
3,1,60,15.0136,168.133,0.98,0
3,1,66,16.8328,179.467,0.96,1
3,1,78,18.7235,152.8,1.0,2
3,1,81,18.6975,150.4,1.0,3
3,1,87,18.8838,162.2,1.0,4
3,1,90,21.6823,211.4,1.0,5
3,2,60,13.0546,111.8,1.0,6
3,2,66,16.836,120.8,1.0,7
3,2,78,18.7137,111.0,1.0,8
3,2,84,24.9935,110.6,1.0,9
3,2,87,19.2726,134.133,0.98,10
3,2,90,28.8341,200.4,1.0,11
3,3,60,18.7137,111.8,1.0,12
3,3,81,20.6175,100.6,1.0,13
3,3,84,19.942,160.6,1.0,14
3,3,87,23.9553,160.8,1.0,15
3,3,90,26.8978,200.4,1.0,16
3,4,81,18.8675,120.4,1.0,17
3,4,84,23.9163,160.2,1.0,18
3,4,87,32.8473,200.2,1.0,19
3,4,90,35.4595,220.2,1.0,20
3,5,87,35.5051,181.2,1.0,21
3,5,90,42.8334,221.6,1.0,22
3,6,84,27.8018,141.4,1.0,23
3,6,87,33.193,193.333,0.98,24
3,6,90,42.1059,240.0,1.0,25
3,7,84,30.0781,171.0,1.0,26
3,7,87,33.5363,190.4,1.0,27
3,7,90,40.5715,262.2,1.0,28
3,8,78,23.6315,131.8,1.0,29
3,8,81,22.2086,170.8,1.0,30
3,8,84,31.1429,171.0,1.0,31
3,8,90,43.4977,300.0,1.0,32
2,1,60,14.1839,321.667,0.7,33
2,1,66,16.1072,230.0,0.82,34
2,1,78,17.9621,203.733,0.88,35
2,1,81,17.9784,217.867,0.84,36
2,1,87,18.1744,188.667,0.92,37
2,1,90,20.7769,201.2,0.94,38
2,2,60,12.2347,201.4,0.88,39
2,2,66,16.0974,146.867,0.92,40
2,2,78,18.0207,150.8,0.88,41
2,2,84,24.3102,201.2,0.86,42
2,2,87,18.5437,157.067,0.9,43
2,2,90,27.8042,154.133,0.98,44
2,3,60,18.0434,98.667,0.96,45
2,3,84,19.0594,218.267,0.86,46
2,3,87,23.0467,150.8,0.94,47
2,3,90,25.8614,154.933,0.98,48
2,4,81,18.259,188.267,0.86,49
2,4,84,23.0792,125.733,0.98,50
2,4,87,31.7817,141.2,1.0,51
2,4,90,34.2109,163.733,0.98,52
2,5,87,34.2141,189.067,0.9,53
2,5,90,41.3789,178.267,0.96,54
2,6,84,26.9387,154.533,0.92,55
2,6,87,31.9476,131.6,1.0,56
2,6,90,40.514,191.267,0.96,57
2,7,84,29.2053,216.533,0.86,58
2,7,87,32.2941,168.667,0.96,59
2,7,90,38.9177,232.0,0.94,60
2,8,75,18.3737,170.8,0.9,61
2,8,78,22.6644,143.733,0.92,62
2,8,81,21.3617,211.6,0.9,63
2,8,84,30.0935,157.067,0.96,64
2,8,90,41.713,274.933,0.92,65
1,1,60,6.9053,1050.0,0.36,66
1,1,66,10.7876,836.667,0.42,67
1,1,78,10.8136,591.667,0.52,68
1,1,81,8.9066,466.667,0.6,69
1,1,90,11.2048,250.476,0.76,70
1,2,66,8.8968,556.667,0.54,71
1,2,84,10.8624,343.333,0.7,72
1,2,90,13.3989,496.667,0.58,73
1,3,60,10.8071,370.0,0.6,74
1,3,84,11.13,500.0,0.58,75
1,3,87,9.2458,291.293,0.72,76
1,3,90,13.4445,283.333,0.74,77
1,4,84,9.3141,206.667,0.8,78
1,4,87,13.5486,96.667,0.96,79
1,4,90,15.6971,256.871,0.74,80
1,5,87,17.6432,200.0,0.84,81
1,5,90,19.8373,396.667,0.68,82
1,6,84,13.0825,645.034,0.6,83
1,6,87,17.5553,426.667,0.64,84
1,6,90,18.1394,685.034,0.62,85
1,7,87,15.7329,253.333,0.8,86
1,8,78,9.1612,526.667,0.58,87
3,1,60,14.9811,194.6,0.94,0
3,1,66,16.8133,151.2,1.0,1
3,1,78,18.7203,153.0,1.0,2
3,1,81,18.7268,163.533,0.98,3
3,1,87,18.9488,174.933,0.98,4
3,1,90,21.6888,224.933,0.98,5
3,2,60,13.0286,124.933,0.98,6
3,2,66,16.836,120.0,1.0,7
3,2,78,18.73,111.4,1.0,8
3,2,84,25.0131,110.8,1.0,9
3,2,87,19.2823,121.4,1.0,10
3,2,90,28.8438,201.0,1.0,11
3,3,60,18.6975,110.8,1.0,12
3,3,81,20.6435,101.2,1.0,13
3,3,84,19.9583,161.8,1.0,14
3,3,87,23.9618,160.8,1.0,15
3,3,90,26.8815,200.2,1.0,16
3,4,81,18.8805,120.6,1.0,17
3,4,84,23.9293,161.0,1.0,18
3,4,87,32.8408,200.8,1.0,19
3,4,90,35.4693,220.6,1.0,20
3,5,87,35.4888,193.533,0.98,21
3,5,90,42.8009,220.2,1.0,22
3,6,84,27.7986,140.8,1.0,23
3,6,87,33.2223,180.6,1.0,24
3,6,90,42.1124,240.0,1.0,25
3,7,84,30.0618,170.2,1.0,26
3,7,87,33.5298,190.2,1.0,27
3,7,90,40.5162,260.2,1.0,28
