A,C,P,B,L,R,LA
3.0,1.0,60.0,14.9356,178.067,0.96,0.0
3.0,1.0,60.0,15.0234,156.8,1.0,0.0
3.0,1.0,66.0,16.8198,165.533,0.98,1.0
3.0,1.0,66.0,16.823,164.533,0.98,1.0
3.0,1.0,66.0,16.8328,179.467,0.96,1.0
3.0,1.0,78.0,18.73,151.0,1.0,2.0
3.0,1.0,78.0,18.704,163.933,0.98,2.0
3.0,1.0,78.0,18.7235,152.8,1.0,2.0
3.0,1.0,81.0,18.6975,163.533,0.98,3.0
3.0,1.0,81.0,18.7007,177.867,0.96,3.0
3.0,1.0,87.0,18.9,174.733,0.98,4.0
3.0,1.0,87.0,18.887,186.867,0.96,4.0
3.0,1.0,87.0,18.8838,162.2,1.0,4.0
3.0,1.0,90.0,21.692,210.8,1.0,5.0
3.0,1.0,90.0,21.6692,211.2,1.0,5.0
3.0,2.0,60.0,13.0481,112.8,1.0,6.0
3.0,2.0,60.0,13.0871,126.533,0.98,6.0
3.0,2.0,60.0,13.0546,111.8,1.0,6.0
3.0,2.0,66.0,16.8328,121.0,1.0,7.0
3.0,2.0,66.0,16.8263,120.4,1.0,7.0
3.0,2.0,66.0,16.836,120.8,1.0,7.0
3.0,2.0,78.0,18.704,123.733,0.98,8.0
3.0,2.0,78.0,18.6845,110.6,1.0,8.0
3.0,2.0,84.0,24.9968,111.2,1.0,9.0
3.0,2.0,84.0,25.0033,110.2,1.0,9.0
3.0,2.0,84.0,24.9935,110.6,1.0,9.0
3.0,2.0,87.0,19.2563,121.2,1.0,10.0
3.0,2.0,87.0,19.2498,133.733,0.98,10.0
3.0,2.0,87.0,19.2726,134.133,0.98,10.0
3.0,2.0,87.0,19.2823,121.4,1.0,10.0
3.0,2.0,90.0,28.8471,200.8,1.0,11.0
3.0,2.0,90.0,28.8633,214.533,0.98,11.0
3.0,2.0,90.0,28.8341,200.4,1.0,11.0
3.0,3.0,60.0,18.6942,111.0,1.0,12.0
3.0,3.0,60.0,18.7203,125.133,0.98,12.0
3.0,3.0,81.0,20.6305,101.8,1.0,13.0
3.0,3.0,81.0,20.6435,100.8,1.0,13.0
3.0,3.0,81.0,20.6175,100.6,1.0,13.0
3.0,3.0,84.0,19.9648,160.6,1.0,14.0
3.0,3.0,84.0,19.9388,160.2,1.0,14.0
3.0,3.0,87.0,23.9455,160.6,1.0,15.0
3.0,3.0,87.0,23.9455,160.6,1.0,15.0
3.0,3.0,87.0,23.9553,160.8,1.0,15.0
3.0,3.0,90.0,26.9043,201.0,1.0,16.0
3.0,3.0,90.0,26.901,200.8,1.0,16.0
3.0,3.0,90.0,26.8978,200.4,1.0,16.0
3.0,4.0,81.0,18.8773,120.6,1.0,17.0
3.0,4.0,81.0,18.8805,121.0,1.0,17.0
3.0,4.0,84.0,23.9163,160.4,1.0,18.0
3.0,4.0,84.0,23.9228,160.2,1.0,18.0
3.0,4.0,84.0,23.9163,160.2,1.0,18.0
3.0,4.0,87.0,32.8701,201.8,1.0,19.0
3.0,4.0,87.0,32.8571,201.4,1.0,19.0
3.0,4.0,90.0,35.4465,220.2,1.0,20.0
3.0,4.0,90.0,35.4563,220.4,1.0,20.0
3.0,4.0,90.0,35.4595,220.2,1.0,20.0
3.0,5.0,87.0,35.4628,180.2,1.0,21.0
3.0,5.0,87.0,35.5018,180.4,1.0,21.0
3.0,5.0,87.0,35.5051,181.2,1.0,21.0
3.0,5.0,90.0,42.7944,220.2,1.0,22.0
3.0,5.0,90.0,42.8301,220.8,1.0,22.0
3.0,6.0,84.0,27.8051,141.2,1.0,23.0
3.0,6.0,84.0,27.8181,153.533,0.98,23.0
3.0,6.0,84.0,27.8018,141.4,1.0,23.0
3.0,6.0,87.0,33.193,180.0,1.0,24.0
3.0,6.0,87.0,33.1898,180.2,1.0,24.0
3.0,6.0,87.0,33.193,193.333,0.98,24.0
3.0,6.0,90.0,42.0864,240.0,1.0,25.0
3.0,6.0,90.0,42.0831,240.4,1.0,25.0
3.0,7.0,84.0,30.0553,170.2,1.0,26.0
3.0,7.0,84.0,30.0683,170.6,1.0,26.0
3.0,7.0,84.0,30.0781,171.0,1.0,26.0
3.0,7.0,87.0,33.5363,190.0,1.0,27.0
3.0,7.0,87.0,33.5168,190.2,1.0,27.0
3.0,7.0,90.0,40.5487,260.2,1.0,28.0
3.0,7.0,90.0,40.5454,260.0,1.0,28.0
3.0,7.0,90.0,40.5715,262.2,1.0,28.0
3.0,8.0,78.0,23.6673,131.0,1.0,29.0
3.0,8.0,78.0,23.6445,131.4,1.0,29.0
3.0,8.0,78.0,23.6315,131.8,1.0,29.0
3.0,8.0,81.0,22.1988,170.8,1.0,30.0
3.0,8.0,81.0,22.2248,170.4,1.0,30.0
3.0,8.0,81.0,22.2086,170.8,1.0,30.0
3.0,8.0,84.0,31.1299,171.0,1.0,31.0
3.0,8.0,84.0,31.1201,170.2,1.0,31.0
3.0,8.0,84.0,31.1429,171.0,1.0,31.0
3.0,8.0,90.0,43.4749,300.0,1.0,32.0
3.0,8.0,90.0,43.4782,300.8,1.0,32.0
2.0,1.0,60.0,14.1904,328.133,0.76,33.0
2.0,1.0,60.0,14.1774,410.133,0.7,33.0
2.0,1.0,60.0,14.1839,321.667,0.7,33.0
2.0,1.0,66.0,16.0779,270.0,0.78,34.0
2.0,1.0,66.0,16.0942,232.449,0.8,34.0
