A,C,P,B,L,R,LA
3,1,60,14.8705,150.2,1,0
3,1,60,14.8803,150.4,1,0
3,1,60,14.8412,150.2,1,0
3,1,60,14.8835,150.6,1,0
3,1,60,14.8803,150,1,0
3,1,60,14.8933,151,1,0
3,1,60,14.8672,150.6,1,0
3,1,60,14.89,150.8,1,0
3,1,60,14.9225,151.6,1,0
3,1,60,14.89,150.8,1,0
3,1,60,14.8803,150.4,1,0
3,1,60,14.877,150.2,1,0
3,1,60,14.903,150.4,1,0
3,1,60,14.8803,150.4,1,0
3,1,60,14.8868,150.6,1,0
3,1,60,14.877,150.2,1,0
3,1,60,14.864,150.6,1,0
3,1,60,14.8607,150.2,1,0
3,1,60,14.8672,150.4,1,0
3,1,60,14.8868,150.6,1,0
3,1,60,14.877,150.8,1,0
3,1,60,14.89,150.6,1,0
3,1,60,14.8705,150.2,1,0
3,1,60,14.8803,150.6,1,0
3,1,60,14.8737,151.4,1,0
3,1,60,14.8998,151,1,0
3,1,60,14.89,151.2,1,0
3,1,60,14.9453,151.6,1,0
3,1,60,14.8803,150.4,1,0
3,1,60,14.864,150.417,0.96,0
3,1,60,14.89,150.8,1,0
3,1,60,14.8737,150.6,1,0
3,1,60,14.8835,151.429,0.98,0
3,1,60,14.877,150.4,1,0
3,1,60,14.8933,150.6,1,0
3,1,60,14.8998,150.6,1,0
3,1,60,14.9063,150.6,1,0
3,1,60,14.8672,150.4,1,0
3,1,60,14.8965,150.4,1,0
3,1,60,14.8803,150.4,1,0
3,1,60,14.9193,151.2,1,0
3,1,60,14.877,151.4,1,0
3,1,60,14.8803,150.4,1,0
3,1,60,14.9258,152.8,1,0
3,1,60,14.8965,151,1,0
3,1,60,14.8705,150.2,1,0
3,1,60,14.8868,150.6,1,0
3,1,60,14.864,150.6,1,0
3,1,60,14.8835,150.8,1,0
3,1,60,14.8933,152,1,0
3,1,60,14.8705,150.8,1,0
3,1,60,14.89,150.2,1,0
3,1,60,14.89,150.4,1,0
3,1,60,14.8965,151.2,1,0
3,1,60,14.89,150.8,1,0
3,1,60,14.8998,150.8,1,0
3,1,60,14.8705,150.8,1,0
3,1,60,14.877,150.4,1,0
3,1,60,14.8672,151.2,1,0
3,1,60,14.89,150.4,1,0
3,1,60,14.8965,151.2,1,0
3,1,60,14.8998,150.2,1,0
3,1,60,14.903,150.2,1,0
3,1,60,14.8868,150.6,1,0
3,1,60,14.877,150,1,0
3,1,60,14.8672,150.6,1,0
3,1,60,14.8998,151,1,0
3,1,60,14.877,150.6,1,0
3,1,60,14.9095,151,1,0
3,1,60,14.8737,151.6,1,0
3,1,60,14.8835,151.6,1,0
3,1,60,14.89,150.4,1,0
3,1,60,14.877,150.2,1,0
3,1,60,14.9095,150.8,1,0
3,1,60,14.8933,150,1,0
3,1,66,16.7515,150,1,1
3,1,66,16.7482,150,1,1
3,1,66,16.7547,150,1,1
3,1,66,16.7482,150,1,1
3,1,66,16.7482,150.6,1,1
3,1,66,16.7547,150,1,1
3,1,66,16.7449,150,1,1
3,1,66,16.7482,150,1,1
3,1,66,16.7612,150,1,1
3,1,66,16.7417,150,1,1
3,1,66,16.7449,150.6,1,1
3,1,66,16.7515,150,1,1
3,1,66,16.7677,150.6,1,1
3,1,66,16.7547,150,1,1
3,1,66,16.7482,150,1,1
3,1,66,16.7515,150,1,1
3,1,66,16.7482,150,1,1
3,1,66,16.758,150,1,1
3,1,66,16.7384,150,1,1
3,1,66,16.7384,150,1,1
3,1,66,16.7547,150,1,1
3,1,66,16.7612,150,1,1
3,1,66,16.7449,150,1,1
3,1,66,16.758,150.6,1,1
3,1,66,16.7612,150,1,1
3,1,66,16.7547,150.6,1,1
3,1,66,16.7449,150,1,1
3,1,66,16.7449,150,1,1
3,1,66,16.7515,150,1,1
3,1,66,16.7547,150,1,1
3,1,66,16.7384,150,1,1
3,1,66,16.7449,150,1,1
3,1,66,16.758,150,1,1
3,1,66,16.7645,150,1,1
3,1,66,16.7482,150.6,1,1
3,1,66,16.7612,150,1,1
3,1,66,16.771,150.6,1,1
3,1,66,16.7417,150,1,1
3,1,66,16.7482,150,1,1
3,1,66,16.758,150,1,1
3,1,66,16.7645,150,1,1
3,1,66,16.7482,150,1,1
3,1,66,16.758,150,1,1
