A,C,P,B,L,R,LA
3,1,60,14.838,151,1,0
3,1,60,14.838,151,1,0
3,1,60,14.8217,151,1,0
3,1,60,14.8347,151,1,0
3,1,60,14.8347,151,1,0
3,1,60,14.8282,151,1,0
3,1,60,14.8282,151,1,0
3,1,60,14.8347,151,1,0
3,1,60,14.8217,151,1,0
3,1,60,14.8315,151,1,0
3,1,60,14.8282,151,1,0
3,1,60,14.8282,151,1,0
3,1,60,14.8282,151,1,0
3,1,60,14.8249,150,1,0
3,1,60,14.8412,150,1,0
3,1,60,14.8315,150,1,0
3,1,60,14.8282,150,1,0
3,1,60,14.8249,150,1,0
3,1,60,14.8347,150,1,0
3,1,60,14.8347,150,1,0
3,1,60,14.8347,150,1,0
3,1,60,14.838,150,1,0
3,1,60,14.8217,150,1,0
3,1,60,14.8315,150,1,0
3,1,60,14.8315,150,1,0
3,1,60,14.8315,150,1,0
3,1,60,14.8315,150,1,0
3,1,60,14.8282,150,1,0
3,1,60,14.8217,150,1,0
3,1,60,14.8282,150,1,0
3,1,60,14.8282,150,1,0
3,1,60,14.8315,150,1,0
3,1,60,14.8249,150,1,0
3,1,60,14.8445,150,1,0
3,1,60,14.8347,150,1,0
3,1,60,14.838,150,1,0
3,1,60,14.8184,150,1,0
3,1,60,14.8347,151,1,0
3,1,60,14.8315,150,1,0
3,1,60,14.8184,150,1,0
3,1,60,14.8282,150,1,0
3,1,60,14.8282,150,1,0
3,1,60,14.8315,150,1,0
3,1,60,14.8282,150,1,0
3,1,60,14.8347,150,1,0
3,1,60,14.8315,150,1,0
3,1,60,14.8477,150,1,0
3,1,60,14.8315,150,1,0
3,1,60,14.8347,151,1,0
3,1,60,14.8184,151,1,0
3,1,60,14.8217,151,1,0
3,1,60,14.8217,151,1,0
3,1,60,14.8217,151,1,0
3,1,60,14.8249,151,1,0
3,1,60,14.8315,151,1,0
3,1,60,14.8217,150,1,0
3,1,60,14.8282,150,1,0
3,1,60,14.8347,150,1,0
3,1,60,14.8315,150,1,0
3,1,60,14.8282,150,1,0
3,1,60,14.8412,150,1,0
