A,C,P,B,L,R,LA
3,1,60,14.93560028,178.0670013,0.959999979,0
3,1,66,16.81979942,165.5330048,0.980000019,1
2,1,78,17.98810005,217.0670013,0.860000014,35
2,1,81,17.98810005,136.6670074,0.959999979,36
2,1,87,18.16469955,147.0670013,0.959999979,37
2,1,90,20.78339958,160.8000031,1,38
2,2,60,12.22159958,240.1999969,0.819999993,39
2,2,66,16.07139969,200.8000031,0.879999995,40
2,2,78,18.02070045,137.4669952,0.899999976,41
2,2,84,24.31999969,148.2669983,0.899999976,42
2,2,87,18.58600044,117.8669968,0.959999979,43
2,2,90,27.79120064,154.5330048,0.980000019,44
2,3,60,18.04339981,166.5330048,0.860000014,45
2,3,84,19.04640007,150.8000031,0.939999998,46
2,3,87,23.05319977,138.2669983,0.959999979,47
2,3,90,25.84840012,193.7330017,0.920000017,48
2,4,81,18.24920082,160.6000061,0.879999995,49
2,4,84,23.05319977,110.8000031,1,50
2,4,87,31.83049965,181.1999969,0.939999998,51
2,4,90,34.22719955,177.4669952,0.959999979,52
2,5,87,34.23040009,149.4669952,0.959999979,53
2,5,90,41.40169907,178.6670074,0.959999979,54
2,6,84,26.9810009,156.1329956,0.920000017,55
2,6,87,31.93129921,170.6000061,0.939999998,56
2,6,90,40.52700043,178.9329987,0.980000019,57
2,7,84,29.2378006,176.1329956,0.920000017,58
2,7,87,32.30720139,154.7330017,0.980000019,59
2,7,90,38.88840103,243.7330017,0.920000017,60
2,8,75,18.40299988,250.3999939,0.819999993,61
2,8,78,22.68059921,170.3999939,0.879999995,62
2,8,81,21.40730095,158.6670074,0.959999979,63
2,8,84,30.10980034,185.5330048,0.920000017,64
2,8,90,41.69350052,247.0670013,0.959999979,65
1,1,60,6.911769867,1438.890015,0.259999991,66
1,1,66,10.77449989,823.3330078,0.460000008,67
1,1,78,10.84609985,476.6669922,0.620000005,68
1,1,81,8.916350365,530,0.600000024,69
1,1,90,11.24380016,246.6670074,0.759999991,70
1,2,66,8.909850121,490,0.579999983,71
1,2,84,10.83640003,355.5559998,0.660000026,72
1,2,90,13.46070004,260.4760132,0.74000001,73
1,3,60,10.82660007,635.0339966,0.540000022,74
1,3,84,11.10070038,522.585022,0.540000022,75
1,3,87,9.307579994,220,0.779999971,76
1,3,90,13.47379971,256.6669922,0.720000029,77
1,4,84,9.288060188,353.3330078,0.680000007,78
1,4,87,13.47700024,256.6669922,0.759999991,79
1,4,90,15.76550007,333.3330078,0.74000001,80
1,5,87,17.54560089,333.3330078,0.680000007,81
1,5,90,19.88279915,250,0.800000012,82
1,6,84,13.07279968,272.7659912,0.680000007,83
1,6,87,17.61709976,346.6669922,0.699999988,84
1,6,90,18.18810081,358.5029907,0.680000007,85
1,7,87,15.70689964,297.6870117,0.720000029,86
1,8,78,9.196969986,460,0.660000026,87
3,1,60,15.02340031,156.8000031,1,0
3,1,66,16.82299995,164.5330048,0.980000019,1
3,1,78,18.70400047,163.9329987,0.980000019,2
3,1,81,18.70070076,177.8670044,0.959999979,3
3,1,87,18.88699913,186.8670044,0.959999979,4
3,1,90,21.6692009,211.1999969,1,5
3,2,60,13.08710003,126.5329971,0.980000019,6
3,2,66,16.82629967,120.4000015,1,7
3,2,78,18.68449974,110.5999985,1,8
3,2,84,25.00329971,110.1999969,1,9
3,2,87,19.24979973,133.7330017,0.980000019,10
3,2,90,28.86330032,214.5330048,0.980000019,11
3,3,60,18.72030067,125.1330032,0.980000019,12
3,3,81,20.64349937,100.8000031,1,13
3,3,84,19.93880081,160.1999969,1,14
3,3,87,23.94549942,160.6000061,1,15
3,3,90,26.90099907,200.8000031,1,16
3,4,81,18.88050079,121,1,17
3,4,84,23.92280006,160.1999969,1,18
