A,C,P,B,L,R,LA
3,1,60,14.9778,152.857,0.98,0
3,1,60,14.9746,154.49,0.98,0
3,1,60,15.0039,155.2,1,0
3,1,60,14.9486,152.708,0.96,0
3,1,60,15.0332,156.522,0.92,0
3,1,60,14.9811,154.694,0.98,0
3,1,60,14.9713,154.375,0.96,0
3,1,60,14.9518,151.429,0.98,0
3,1,60,14.9518,152.273,0.88,0
3,1,60,14.9388,153.333,0.9,0
3,1,60,14.9551,152.708,0.96,0
3,1,60,14.9681,152.826,0.92,0
3,1,60,15.0169,155.306,0.98,0
3,1,60,14.9388,151.429,0.98,0
3,1,60,15.0136,154.082,0.98,0
3,1,60,14.9713,153.404,0.94,0
3,1,60,14.9616,152.245,0.98,0
3,1,60,14.9583,150.816,0.98,0
3,1,60,14.9518,152.041,0.98,0
3,1,60,14.9551,152.128,0.94,0
3,1,60,14.9681,153.958,0.96,0
3,1,60,14.9518,153.333,0.96,0
3,1,60,14.9648,153.2,1,0
3,1,60,15.0006,154.8,1,0
3,1,60,15.0039,154.043,0.94,0
3,1,60,15.0429,156.531,0.98,0
3,1,60,14.9941,154.468,0.94,0
3,1,60,14.9811,155.208,0.96,0
3,1,60,14.9876,154.286,0.98,0
3,1,60,14.9681,150.612,0.98,0
3,1,60,14.9811,152.041,0.98,0
3,1,60,15.0169,155.319,0.94,0
3,1,60,15.0104,154.681,0.94,0
3,1,60,14.9844,154.6,1,0
3,1,60,14.9616,152,1,0
3,1,60,15.0104,156.122,0.98,0
3,1,60,14.9616,151.875,0.96,0
3,1,60,14.9876,152.041,0.98,0
3,1,60,14.9778,153.75,0.96,0
3,1,60,14.9974,153.4,1,0
3,1,60,15.0624,158.98,0.98,0
3,1,60,14.9518,151.2,1,0
3,1,60,14.9551,152.708,0.96,0
3,1,60,14.9746,153.125,0.96,0
3,1,60,15.0169,154.694,0.98,0
3,1,60,15.0006,153.83,0.94,0
3,1,60,15.0136,154.898,0.98,0
3,1,60,14.9844,152.292,0.96,0
3,1,60,14.9746,152.6,1,0
3,1,60,14.9453,151.875,0.96,0
3,1,60,14.9778,153.673,0.98,0
3,1,60,14.9453,151.915,0.94,0
3,1,60,14.9811,154.082,0.98,0
3,1,60,14.9486,151.667,0.96,0
3,1,60,14.9713,155.208,0.96,0
3,1,60,15.0234,155.714,0.98,0
3,1,60,14.9909,156.875,0.96,0
3,1,60,15.0039,155.745,0.94,0
3,1,60,14.9778,153.061,0.98,0
3,1,60,14.9974,152.979,0.94,0
3,1,60,15.0169,152.4,1,0
3,1,60,14.9941,155.778,0.9,0
3,1,60,14.9909,154.894,0.94,0
3,1,60,14.9486,153.333,0.96,0
3,1,60,14.9681,153.404,0.94,0
3,1,60,14.9811,153.333,0.96,0
3,1,60,14.9811,153.469,0.98,0
3,1,60,14.9388,152.766,0.94,0
3,1,60,15.0071,153.83,0.94,0
3,1,60,14.9909,156.739,0.92,0
3,1,60,15.0169,157.292,0.96,0
3,1,60,14.9746,151.875,0.96,0
3,1,60,14.9941,152.857,0.98,0
3,1,60,14.9974,154.894,0.94,0
3,1,60,14.9876,155.319,0.94,0
3,1,66,16.8425,150.625,0.96,1
3,1,66,16.8425,151.4,1,1
3,1,66,16.81,151.4,1,1
3,1,66,16.8035,151,1,1
3,1,66,16.8328,151,1,1
3,1,66,16.8295,152.041,0.98,1
3,1,66,16.8295,151.458,0.96,1
3,1,66,16.8068,151.667,0.96,1
3,1,66,16.8133,153,1,1
3,1,66,16.8133,150.8,1,1
3,1,66,16.8198,151.2,1,1
3,1,66,16.836,153.8,1,1
3,1,66,16.8425,153.2,1,1
3,1,66,16.8198,152.041,0.98,1
3,1,66,16.8198,151.224,0.98,1
3,1,66,16.8393,151.875,0.96,1
3,1,66,16.8295,150.816,0.98,1
3,1,66,16.8133,153,1,1
3,1,66,16.8425,150.8,1,1
3,1,66,16.823,150.816,0.98,1
3,1,66,16.8263,152.2,1,1
3,1,66,16.8165,153,1,1
3,1,66,16.8198,152.041,0.98,1
3,1,66,16.8198,152.8,1,1
3,1,66,16.849,153.8,1,1
3,1,66,16.823,151.489,0.94,1
3,1,66,16.8295,153.542,0.96,1
3,1,66,16.8198,150.816,0.98,1
3,1,66,16.8295,150.6,1,1
3,1,66,16.8263,150.612,0.98,1
3,1,66,16.8263,152.449,0.98,1
3,1,66,16.81,152.2,1,1
3,1,66,16.8263,151.4,1,1
3,1,66,16.8003,151,1,1
3,1,66,16.8263,153,1,1
3,1,66,16.823,152.6,1,1
3,1,66,16.8133,150.6,1,1
3,1,66,16.8165,151.8,1,1
3,1,66,16.823,151.458,0.96,1
3,1,66,16.8263,152.667,0.9,1
3,1,66,16.8198,151.6,1,1
3,1,66,16.7905,151.224,0.98,1
3,1,66,16.8035,151.8,1,1
3,1,66,16.8328,152.917,0.96,1
3,1,66,16.8295,153,1,1
3,1,66,16.8198,150,0.98,1
3,1,66,16.823,151.25,0.96,1
3,1,66,16.8068,152,1,1
3,1,66,16.8035,152,1,1
3,1,66,16.823,151.2,1,1
3,1,66,16.7807,151.458,0.96,1
3,1,66,16.8295,151.6,1,1
3,1,66,16.8523,150.4,1,1
3,1,66,16.8165,152,1,1
3,1,66,16.8263,150.8,1,1
3,1,66,16.8035,151.837,0.98,1
3,1,66,16.8198,152.2,1,1
3,1,66,16.8295,151.8,1,1
3,1,66,16.81,152.041,0.98,1
3,1,66,16.8588,152.6,1,1
3,1,66,16.8295,151.837,0.98,1
3,1,66,16.8198,151.458,0.96,1
3,1,66,16.797,151,1,1
3,1,66,16.8133,150.8,1,1
3,1,66,16.8068,151.633,0.98,1
3,1,66,16.81,151.4,1,1
3,1,66,16.8003,150,1,1
3,1,66,16.7872,151.837,0.98,1
3,1,66,16.8068,150.612,0.98,1
3,1,66,16.8068,152.553,0.94,1
3,1,66,16.836,151.429,0.98,1
3,1,66,16.8328,153.8,1,1
3,1,66,16.8263,151.522,0.92,1
3,1,66,16.7905,151.458,0.96,1
3,1,66,16.7905,151.8,1,1
3,1,78,18.6845,151.224,0.98,2
3,1,78,18.678,150.8,1,2
3,1,78,18.691,150,1,2
3,1,78,18.717,151.4,1,2
3,1,78,18.7105,150.8,1,2
3,1,78,18.691,151.4,1,2
3,1,78,18.704,150.816,0.98,2
3,1,78,18.691,150.816,0.98,2
3,1,78,18.704,151.4,1,2
3,1,78,18.7105,152,1,2
3,1,78,18.6942,150.6,1,2
3,1,78,18.6975,151.4,1,2
3,1,78,18.7137,150.6,1,2
3,1,78,18.6942,152,1,2
3,1,78,18.7137,150.4,1,2
3,1,78,18.6747,150.625,0.96,2
3,1,78,18.7072,150.8,1,2
3,1,78,18.6812,153.2,1,2
3,1,78,18.691,152.8,1,2
3,1,78,18.6942,151.2,1,2
3,1,78,18.7105,151.633,0.98,2
3,1,78,18.717,151,1,2
3,1,78,18.704,151.224,0.98,2
3,1,78,18.6845,150.625,0.96,2
3,1,78,18.7007,151.224,0.98,2
3,1,78,18.691,154.4,1,2
3,1,78,18.6812,151.8,1,2
3,1,78,18.7007,150.6,1,2
3,1,78,18.7105,151.4,1,2
3,1,78,18.6942,153,1,2
3,1,78,18.7007,150.8,1,2
3,1,78,18.7105,150.816,0.98,2
3,1,78,18.6942,151.2,1,2
3,1,78,18.6975,151.4,1,2
3,1,78,18.6975,151.429,0.98,2
3,1,78,18.691,153,1,2
3,1,78,18.6942,151.4,1,2
3,1,78,18.6845,151,1,2
3,1,78,18.7007,152.8,1,2
3,1,78,18.717,152,1,2
3,1,78,18.678,150.625,0.96,2
3,1,78,18.6942,151.6,1,2
3,1,78,18.6942,151.633,0.98,2
3,1,78,18.6975,150.816,0.98,2
3,1,78,18.7137,151.8,1,2
3,1,78,18.7137,151.02,0.98,2
3,1,78,18.6942,152.857,0.98,2
3,1,78,18.704,153.878,0.98,2
3,1,78,18.6942,152.041,0.98,2
3,1,78,18.7007,151.8,1,2
3,1,78,18.691,151.2,1,2
3,1,78,18.6942,153,1,2
3,1,78,18.6845,151.224,0.98,2
3,1,78,18.7007,152.449,0.98,2
3,1,78,18.704,151.224,0.98,2
3,1,78,18.6942,153.6,1,2
3,1,78,18.6845,153.958,0.96,2
3,1,78,18.7268,152.6,1,2
3,1,78,18.691,150.612,0.98,2
3,1,78,18.6845,150.833,0.96,2
3,1,78,18.6975,152.2,1,2
3,1,78,18.6845,151.8,1,2
3,1,78,18.7007,151.4,1,2
3,1,78,18.6942,151.4,1,2
3,1,78,18.6942,152.8,1,2
3,1,78,18.704,151.02,0.98,2
3,1,78,18.691,151.224,0.98,2
3,1,78,18.6942,150.213,0.94,2
3,1,78,18.678,153,1,2
3,1,78,18.704,151.2,1,2
3,1,78,18.6975,150.816,0.98,2
3,1,78,18.7072,150.2,1,2
3,1,78,18.6942,151.02,0.98,2
3,1,78,18.691,152.083,0.96,2
3,1,78,18.6975,151.2,1,2
3,1,81,18.691,150.204,0.98,3
3,1,81,18.7268,152,1,3
3,1,81,18.7072,150.625,0.96,3
